id,catalogNumber,scientificName,longitude,latitude,scientificNameOriginal,rank,family,genus,species,subspecies,locality,coordinateUncertaintyInMetres,state,year,basisOfRecord,outlierForLayer,taxonIdentificationIssue,locationQuality,dataProvider
NA,SJJSI0663165,Calotis glandulosa,148.67418,-35.61894,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663166,Calotis glandulosa,148.67439,-35.61917,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663167,Calotis glandulosa,148.67476,-35.61944,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
54d3d3db-3362-42bf-a9c3-c47b646d6cc4,CANB 878339.1,Calotis glandulosa,148.6753,-35.6664,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Mosquito Creek fire trail, approximately 1 km S of Blue Waterhole Saddle.",50,New South Wales,2015,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SEMMI0022591,Calotis glandulosa,148.6755216,-36.50845337,NA,NA,Asteraceae,NA,NA,NA,"Road verge between Jindabyne and Dalgety, Snowy River,",NA,NA,2009,NA,NA,NA,NA,BioNet
0a2258e8-cc37-43fd-b5e9-2756462dfa57,NSW 845024,Calotis glandulosa,148.675556,-35.666503,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Mosquito Creek Firetrail, ca. 1 km S of Blue Waterhole saddle.",NA,New South Wales,2015,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SJJSI0663184,Calotis glandulosa,148.6757,-35.62205,NA,NA,Asteraceae,NA,NA,NA,"Coolamon Plain, plants in doline sinkhole",NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663185,Calotis glandulosa,148.67618,-35.62219,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663186,Calotis glandulosa,148.67938,-35.62192,NA,NA,Asteraceae,NA,NA,NA,Coolamon Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
77fa738a-0a57-48bc-910a-61812a1e5c22,NSW 395272,Calotis glandulosa,148.68,-35.62,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,Cooleman Caves area.,10000,New South Wales,1994,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
1e0ba086-b49d-4dee-aefa-04b313aa7784,MEL 2037929A,Calotis glandulosa,148.6833,-35.6167,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,Cooleman Caves area.  Kosciusko National Park.,10000,New South Wales,1994,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
b37c5e3a-1f04-4a1c-aa9c-ea2c367c2cf9,CANB 510029.1,Calotis glandulosa,148.6833,-35.5317,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"KNP, above Peppercorn Creek",50,New South Wales,1998,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,NSW395272,Calotis glandulosa,148.6845508,-35.61511384,NA,NA,Asteraceae,NA,NA,NA,Cooleman Caves area.,NA,NA,1994,NA,NA,NA,NA,BioNet
NA,SEMMI0022592,Calotis glandulosa,148.6866604,-36.513153,NA,NA,Asteraceae,NA,NA,NA,"Road verge between Jindabyne and Dalgety, Snowy River,",NA,NA,2009,NA,NA,NA,NA,BioNet
NA,SEMMI0022593,Calotis glandulosa,148.6881253,-36.51703637,NA,NA,Asteraceae,NA,NA,NA,"Road verge between Jindabyne and Dalgety, Snowy River,",NA,NA,2009,NA,NA,NA,NA,BioNet
NA,SJJSI0663142,Calotis glandulosa,148.6916,-35.87617,NA,NA,Asteraceae,NA,NA,NA,Nungar Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663143,Calotis glandulosa,148.69184,-35.87642,NA,NA,Asteraceae,NA,NA,NA,Nungar Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SEMMI0022594,Calotis glandulosa,148.6938321,-36.51981343,NA,NA,Asteraceae,NA,NA,NA,"Road verge between Jindabyne and Dalgety, Snowy River,",NA,NA,2009,NA,NA,NA,NA,BioNet
NA,SIXRI1216781,Calotis glandulosa,148.693959,-36.520547,NA,NA,Asteraceae,NA,NA,NA,"Liddles TSR, S Boloco - Cobbin Rd, W of 'Top of the Range' driveway.",NA,NA,2016,NA,NA,NA,NA,BioNet
NA,SCOS1605050J,Calotis glandulosa,148.693959,-36.520547,NA,NA,Asteraceae,NA,NA,NA,"Liddles TSR, S Boloco - Cobbin Rd, W of 'Top of the Range' driveway.",NA,NA,2016,NA,NA,NA,NA,BioNet
NA,SPJGI0034949,Calotis glandulosa,148.6945931,-35.85657122,NA,NA,Asteraceae,NA,NA,NA,Nungar Plain Specified Reserve: Kosciuszko NP,NA,NA,2001,NA,NA,NA,NA,BioNet
NA,SJJSI0663145,Calotis glandulosa,148.69586,-35.87971,NA,NA,Asteraceae,NA,NA,NA,Nungar Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663144,Calotis glandulosa,148.69621,-35.87993,NA,NA,Asteraceae,NA,NA,NA,Nungar Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SPJGI5183975,Calotis glandulosa,148.6963452,-36.5207018,NA,NA,Asteraceae,NA,NA,NA,Lidless TSR near site 317,NA,NA,2016,NA,NA,NA,NA,BioNet
3a889fd7-3738-4732-83e0-dd31c1b30121,NSW 991123,Calotis glandulosa,148.697,-36.52,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Liddles Travelling Stock Reserve, east of entrance to property â€˜Top of the Rangeâ€™, Guises Range, between Dalgety and Jindabyne.",NA,New South Wales,2016,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SIXRI1216724,Calotis glandulosa,148.697116,-36.520227,NA,NA,Asteraceae,NA,NA,NA,"Liddles TSR, top of Guises Range on Cobbin - Beloco Rd.",NA,NA,2016,NA,NA,NA,NA,BioNet
a72cdb45-5061-4efe-adb4-091f3fb5ed03,CANB 124022.1,Calotis glandulosa,148.7,-35.6833,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,Currango; borders of Cooleman Plain.,10000,New South Wales,1962,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SPJGI0034950,Calotis glandulosa,148.7001187,-35.85604237,NA,NA,Asteraceae,NA,NA,NA,"Nungar Plain, Kosciuszko National Park Specified Reserve: Kosciuszko NP",NA,NA,2001,NA,NA,NA,NA,BioNet
caee34c8-c233-426a-90de-ee578037cf6b,MEL 2123108A,Calotis glandulosa,148.7006,-35.8561,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Kosciuszko National Park, Nungar Plain, c. 1.5 km SE from where Circuits Hut Fire Trail enters plain from the north.",50,New South Wales,2001,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SPJGI0034952,Calotis glandulosa,148.7039644,-35.85463564,NA,NA,Asteraceae,NA,NA,NA,Nungar Plain Specified Reserve: Kosciuszko NP,NA,NA,2001,NA,NA,NA,NA,BioNet
NA,SPJGI0034951,Calotis glandulosa,148.7039721,-35.85499613,NA,NA,Asteraceae,NA,NA,NA,Nungar Plain about 1.5 km east of track which crosses the plain Specified Reserve: Kosciuszko NP,NA,NA,2001,NA,NA,NA,NA,BioNet
5c03c496-5382-4e05-9ca4-0743717f5b66,NSW 568505,Calotis glandulosa,148.706,-35.8233,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Near Tantangera Dam, approx. 2.5 km E of the junction of Gulf Creek fire trail and Gravits Hut fire trail.",10000,New South Wales,1999,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
